,sentiment
2014-07-10,-0.011111111111111112
2014-07-11,0.0
2014-07-12,0.16666666666666666
2014-07-13,0.10880681818181817
2014-07-14,-0.031601731601731596
2014-07-15,-0.015476190476190461
2014-07-16,0.0009259259259259273
2014-07-17,0.06914735591206178
2014-07-18,0.035816498316498316
2014-07-19,0.22916666666666669
2014-07-20,0.0
2014-07-21,0.022916666666666658
2014-07-22,0.0
2014-07-23,0.11989927334570193
2014-07-24,0.011458333333333338
2014-07-25,0.00972222222222222
2014-07-26,0.16528679653679654
2014-07-27,0.21874999999999994
2014-07-28,0.022727272727272724
2014-07-29,0.08333333333333333
2014-07-30,-0.09285714285714286
2014-07-31,0.08333333333333333
2014-08-01,0.0
2014-08-02,0.0
2014-08-03,0.265
2014-08-04,0.25
2014-08-05,0.27329545454545456
2014-08-06,-0.6999999999999998
2014-08-07,0.05306712962962964
2014-08-08,0.13999999999999999
2014-08-09,0.0425
2014-08-10,0.0
2014-08-11,0.11666666666666665
2014-08-12,-0.15416666666666667
2014-08-13,0.02505509641873278
2014-08-14,0.2475
2014-08-15,-0.13888888888888887
2014-08-16,-0.08217592592592593
2014-08-17,
2014-08-18,0.4
2014-08-19,0.11022727272727272
2014-08-20,-0.01481481481481481
2014-08-21,0.06442760942760944
2014-08-22,-0.061111111111111116
2014-08-23,0.0
2014-08-24,0.0
2014-08-25,-0.042460317460317455
2014-08-26,0.0027777777777777866
2014-08-27,0.11534090909090909
2014-08-28,0.03571428571428571
2014-08-29,0.0625
2014-08-30,0.014149305555555556
2014-08-31,0.08962585034013605
2014-09-01,
2014-09-02,
2014-09-03,
2014-09-04,
2014-09-05,
2014-09-06,
2014-09-07,
2014-09-08,
2014-09-09,-0.03
2014-09-10,0.03595446950710108
2014-09-11,0.06647186147186147
2014-09-12,0.026041666666666657
2014-09-13,-0.12242063492063489
2014-09-14,0.0015625000000000014
2014-09-15,-0.02083333333333334
2014-09-16,-0.225
2014-09-17,-0.05729166666666667
2014-09-18,0.02350780532598714
2014-09-19,-0.01001082251082251
2014-09-20,0.0033333333333333335
2014-09-21,-0.21666666666666667
2014-09-22,-0.010879629629629628
2014-09-23,0.036862373737373735
2014-09-24,-0.042499999999999996
2014-09-25,0.15625
2014-09-26,0.08550347222222222
2014-09-27,0.06481481481481481
2014-09-28,0.07553125
2014-09-29,0.029365079365079365
2014-09-30,-0.002083333333333338
2014-10-01,0.11222943722943722
2014-10-02,3.469446951953614e-18
2014-10-03,0.07396825396825397
2014-10-04,0.17670454545454545
2014-10-05,0.13518518518518519
2014-10-06,0.04375
2014-10-07,0.16249999999999998
2014-10-08,0.08203125
2014-10-09,0.07708333333333334
2014-10-10,0.031018518518518518
2014-10-11,0.10833333333333332
2014-10-12,-0.03333333333333332
2014-10-13,0.0
2014-10-14,0.045
2014-10-15,-0.06428571428571427
2014-10-16,-0.007142857142857141
2014-10-17,0.15050899621212122
2014-10-18,0.049999999999999996
2014-10-19,0.0069444444444444475
2014-10-20,0.0125
2014-10-21,0.0625
2014-10-22,-0.04739583333333333
2014-10-23,0.033226495726495726
2014-10-24,0.07500000000000001
2014-10-25,0.09375
2014-10-26,0.5
2014-10-27,
2014-10-28,0.057589285714285725
2014-10-29,-0.08229166666666665
2014-10-30,-0.2109375
2014-10-31,-0.024999999999999998
2014-11-01,0.0
2014-11-02,0.0625
2014-11-03,0.0
2014-11-04,-0.025
2014-11-05,0.24983333333333335
2014-11-06,0.0468479437229437
2014-11-07,-0.04312169312169313
2014-11-08,0.09583333333333333
2014-11-09,0.2
2014-11-10,-0.0010101010101010131
2014-11-11,-0.0375
2014-11-12,-0.051893939393939395
2014-11-13,-0.028787878787878793
2014-11-14,0.060972222222222205
2014-11-15,0.1574074074074074
2014-11-16,0.11555555555555556
2014-11-17,0.0875
2014-11-18,0.03666666666666667
2014-11-19,0.07053321678321678
2014-11-20,-0.011666666666666665
2014-11-21,0.02871212121212121
2014-11-22,0.075625
2014-11-23,0.0
2014-11-24,0.06250000000000003
2014-11-25,0.04642857142857143
2014-11-26,0.0
2014-11-27,0.06527777777777778
2014-11-28,-0.03333333333333333
2014-11-29,
2014-11-30,0.07222222222222223
2014-12-01,
2014-12-02,0.1046875
2014-12-03,0.2
2014-12-04,0.020238095238095263
2014-12-05,0.0734126984126984
2014-12-06,0.0
2014-12-07,0.1875
2014-12-08,-0.2
2014-12-09,0.0
2014-12-10,
2014-12-11,0.43333333333333335
2014-12-12,0.18083333333333335
2014-12-13,0.0
2014-12-14,0.20277777777777775
2014-12-15,0.0
2014-12-16,0.2425
2014-12-17,0.05925925925925927
2014-12-18,0.0375
2014-12-19,-0.009259259259259259
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,0.0
2014-12-23,0.13104166666666667
2014-12-24,
2014-12-25,0.0
2014-12-26,
2014-12-27,0.0
2014-12-28,0.14739583333333334
2014-12-29,
2014-12-30,0.03571428571428572
2014-12-31,0.02575757575757576
2015-01-01,0.31212121212121213
2015-01-02,-0.18784722222222222
2015-01-03,
2015-01-04,0.08
2015-01-05,0.049999999999999996
2015-01-06,-0.006249999999999999
2015-01-07,0.022222222222222227
2015-01-08,0.125
2015-01-09,0.0
2015-01-10,0.140625
2015-01-11,-0.0061111111111111045
2015-01-12,0.19444444444444442
2015-01-13,0.0625
2015-01-14,
