,year,month,state,sentiment,frequency
703,2014,1,DE,,0.0
704,2014,2,DE,,0.0
705,2014,3,DE,,0.0
706,2014,4,DE,,0.0
707,2014,5,DE,,0.0
708,2014,6,DE,,0.0
709,2014,7,DE,,0.0
710,2014,8,DE,,0.0
711,2014,9,DE,,0.0
712,2014,10,DE,,0.0
713,2014,11,DE,,0.0
714,2014,12,DE,,0.0
715,2015,1,DE,,0.0
716,2015,2,DE,,0.0
717,2015,3,DE,,0.0
718,2015,4,DE,,0.0
719,2015,5,DE,,0.0
720,2015,6,DE,,0.0
721,2015,7,DE,,0.0
722,2015,8,DE,,0.0
723,2015,9,DE,,0.0
724,2015,10,DE,,0.0
725,2015,11,DE,,0.0
726,2015,12,DE,,0.0
727,2016,1,DE,,0.0
728,2016,2,DE,,0.0
729,2016,3,DE,,0.0
730,2016,4,DE,,0.0
731,2016,5,DE,,0.0
732,2016,6,DE,,0.0
733,2016,7,DE,,0.0
734,2016,8,DE,,0.0
735,2016,9,DE,,0.0
736,2016,10,DE,,0.0
737,2016,11,DE,,0.0
738,2016,12,DE,,0.0
739,2017,1,DE,,0.0
740,2017,2,DE,,0.0
741,2017,3,DE,,0.0
742,2017,4,DE,,0.0
743,2017,5,DE,,0.0
744,2017,6,DE,,0.0
745,2017,7,DE,0.049999999999999996,2.0
746,2017,8,DE,0.0,1.0
747,2017,9,DE,0.0,1.0
748,2017,10,DE,,0.0
749,2017,11,DE,0.16666666666666666,1.0
750,2017,12,DE,,0.0
751,2018,1,DE,0.10194444444444445,3.0
752,2018,2,DE,,0.0
753,2018,3,DE,0.02142857142857143,7.0
754,2018,4,DE,,0.0
755,2018,5,DE,0.17555555555555555,3.0
756,2018,6,DE,0.43125,1.0
757,2018,7,DE,,0.0
758,2018,8,DE,0.08611111111111112,1.0
759,2018,9,DE,,0.0
760,2018,10,DE,0.0,1.0
761,2018,11,DE,,0.0
762,2018,12,DE,,0.0
763,2019,1,DE,,0.0
764,2019,2,DE,,0.0
765,2019,3,DE,,0.0
766,2019,4,DE,,0.0
767,2019,5,DE,,0.0
768,2019,6,DE,0.3336111111111111,3.0
769,2019,7,DE,0.100625,4.0
770,2019,8,DE,,0.0
771,2019,9,DE,,0.0
772,2019,10,DE,,0.0
773,2019,11,DE,,0.0
774,2019,12,DE,,0.0
775,2020,1,DE,,0.0
776,2012,1,FL,,0.0
777,2012,2,FL,,0.0
778,2012,3,FL,,0.0
779,2012,4,FL,,0.0
780,2012,5,FL,,0.0
781,2012,6,FL,,0.0
782,2012,7,FL,,0.0
783,2012,8,FL,,0.0
784,2012,9,FL,,0.0
785,2012,10,FL,,0.0
786,2012,11,FL,,0.0
787,2012,12,FL,,0.0
788,2013,1,FL,,0.0
789,2013,2,FL,,0.0
790,2013,3,FL,,0.0
791,2013,4,FL,,0.0
792,2013,5,FL,,0.0
793,2013,6,FL,,0.0
794,2013,7,FL,-0.0625,1.0
795,2013,8,FL,,0.0
796,2013,9,FL,,0.0
797,2013,10,FL,,0.0
798,2013,11,FL,,0.0
799,2013,12,FL,,0.0
800,2014,1,FL,,0.0
801,2014,2,FL,,0.0
802,2014,3,FL,,0.0
803,2014,4,FL,,0.0
804,2014,5,FL,0.03125,1.0
805,2014,6,FL,0.3,1.0
806,2014,7,FL,,0.0
807,2014,8,FL,,0.0
808,2014,9,FL,,0.0
809,2014,10,FL,,0.0
810,2014,11,FL,,0.0
811,2014,12,FL,,0.0
812,2015,1,FL,,0.0
813,2015,2,FL,,0.0
814,2015,3,FL,,0.0
815,2015,4,FL,,0.0
816,2015,5,FL,,0.0
817,2015,6,FL,,0.0
818,2015,7,FL,,0.0
819,2015,8,FL,,0.0
820,2015,9,FL,,0.0
821,2015,10,FL,,0.0
822,2015,11,FL,,0.0
823,2015,12,FL,,0.0
824,2016,1,FL,,0.0
825,2016,2,FL,,0.0
826,2016,3,FL,,0.0
827,2016,4,FL,,0.0
828,2016,5,FL,,0.0
829,2016,6,FL,,0.0
830,2016,7,FL,,0.0
831,2016,8,FL,,0.0
832,2016,9,FL,,0.0
833,2016,10,FL,,0.0
834,2016,11,FL,,0.0
835,2016,12,FL,,0.0
836,2017,1,FL,,0.0
837,2017,2,FL,,0.0
838,2017,3,FL,,0.0
839,2017,4,FL,,0.0
840,2017,5,FL,,0.0
